URL;nombre;n_apariciones;actual;genero;fecha_inicio;Notes
http://marvel.wikia.com/Greg_W;Greg Willis;58;NO;MALE;2009;Died on Battlew
http://marvel.wikia.com/Sersi_;Circe;237;NO;FEMALE;1990;
http://marvel.wikia.com/Peter_;Peter Benjamin Parker;4333;YES;MALE;1990;Since joining t
http://marvel.wikia.com/Walter;Walter Newell;126;NO;MALE;1990;
http://marvel.wikia.com/Elvin_;Elvin Haliday;158;NO;MALE;1900;
http://marvel.wikia.com/Willia;William Baker;355;NO;MALE;1900;Died in Identit
http://marvel.wikia.com/Crysta;Crystal Amaquelin Maximoff;517;NO;FEMALE;1992;
http://marvel.wikia.com/Eric_M;Eric Kevin Masterson;202;NO;MALE;1992;Became posessed
http://marvel.wikia.com/Philip;Phillip Javert;31;NO;MALE;1992;
http://marvel.wikia.com/Meliss;;28;NO;FEMALE;1993;
http://marvel.wikia.com/Deathc;;50;NO;FEMALE;1993; Reduced her to
http://marvel.wikia.com/Anthon;Anthony Edward Stark;27;NO;MALE;1996;Merged with 616
http://marvel.wikia.com/Giulet;Giulietta Nefaria;18;NO;FEMALE;1996;Whitney killed 
http://marvel.wikia.com/Vance_;Vance Astrovik;302;NO;MALE;1998;
http://marvel.wikia.com/Angeli;Angelica Jones;330;NO;FEMALE;1998;
http://marvel.wikia.com/Delroy;Delroy Garrett Jr.;101;NO;MALE;2000;
http://marvel.wikia.com/Maria_;Maria de Guadalupe Santiago;43;NO;FEMALE;2000;
http://marvel.wikia.com/Jonath;Jonathan Hart;126;NO;MALE;2001;First died in a
http://marvel.wikia.com/Kelsey;Kelsey Leigh Shorr;24;NO;FEMALE;2004;
http://marvel.wikia.com/Luke_C;Carl Lucas;886;YES;MALE;2005;
http://marvel.wikia.com/Verank;Veranke;159;NO;FEMALE;2005;Killed by Norma
http://marvel.wikia.com/James_;"James ""Logan"" Howlett";3130;YES;MALE;2005;Died in Death_o
http://marvel.wikia.com/Robert;Robert Reynolds;241;NO;MALE;2005;Died during Sei
http://marvel.wikia.com/Maya_L;Maya Lopez;67;NO;FEMALE;2005;First death 'ha
http://marvel.wikia.com/Nathan;Nathaniel Richards;23;NO;MALE;2005;NA is actually 
http://marvel.wikia.com/Elijah;Elijah Bradley;103;NO;MALE;2005;
http://marvel.wikia.com/Willia;"William ""Billy"" Kaplan";123;YES;MALE;2005;
http://marvel.wikia.com/Dorrek;"Dorrek VIII/Theodore ""Teddy"" Altman";110;YES;MALE;2005;
http://marvel.wikia.com/Cassan;Cassie Lang;160;NO;FEMALE;2005;Dies in Young A
http://marvel.wikia.com/Kather;"Katherine ""Kate"" Bishop";132;YES;FEMALE;2005;
http://marvel.wikia.com/Vision;Alias: Jonas;121;NO;MALE;2006;Dies in Young A
http://marvel.wikia.com/Thomas;"Thomas ""Tommy"" Shepherd";59;YES;MALE;2006;
http://marvel.wikia.com/Daniel;Daniel Thomas Rand K'ai;629;NO;MALE;2007;
http://marvel.wikia.com/Stephe;Doctor Stephen Vincent Strange;1324;NO;MALE;2007;
http://marvel.wikia.com/Ares_(;Ares;236;NO;MALE;2007;Ripped in half 
http://marvel.wikia.com/James_;James Buchanan Barnes;663;NO;MALE;2008;
http://marvel.wikia.com/Jessic;Jessica Miriam Drew;525;YES;FEMALE;2008;
http://marvel.wikia.com/Jessic;Jessica Jones;205;YES;FEMALE;2010;
http://marvel.wikia.com/Amadeu;Amadeus Cho;108;NO;MALE;2009;
http://marvel.wikia.com/Maria_;Maria Hill;359;YES;FEMALE;2010;
http://marvel.wikia.com/Robert;Robbie Baldwin;299;NO;MALE;2010;
http://marvel.wikia.com/Sharon;Sharon Carter;333;NO;FEMALE;2010;Died in Captain
http://marvel.wikia.com/Eric_O;Eric O'Grady;88;NO;MALE;2010;Died in Secret_
http://marvel.wikia.com/Brunnh;Brunnhilde;369;NO;FEMALE;2010;NA but died/cam
http://marvel.wikia.com/Richar;Richard Rider;380;NO;MALE;2010;Died in Guardia
http://marvel.wikia.com/Brian_;Brian Braddock;545;NO;MALE;2010;
http://marvel.wikia.com/Dennis;Dennis Sykes;6;NO;MALE;2010;Died in Heroic_
http://marvel.wikia.com/Noh-Va;Noh-Varr;126;YES;MALE;2010;
http://marvel.wikia.com/Thadde;Thaddeus Ross;417;NO;MALE;2011;Died in Circle 
http://marvel.wikia.com/John_A;John Aman;31;YES;MALE;2010;
http://marvel.wikia.com/Shang-;Shang-Chi;310;YES;MALE;2011;
http://marvel.wikia.com/James_;James Santini;40;YES;MALE;1900;
http://marvel.wikia.com/Emery_;Emery Schaub;26;YES;MALE;1900;
http://marvel.wikia.com/Jeanne;Jeanne Foucault;63;YES;FEMALE;2010;
http://marvel.wikia.com/Fiona_;Fiona;2;YES;FEMALE;1900;
http://marvel.wikia.com/Jennif;Jennifer Takeda;73;YES;FEMALE;2010;
http://marvel.wikia.com/Hollow;Yvette;22;YES;FEMALE;1900;
http://marvel.wikia.com/Julie_;Julie Power;153;YES;FEMALE;1900;
http://marvel.wikia.com/Alani_;Alani Ryan;73;YES;FEMALE;1900;
http://marvel.wikia.com/Ken_Ma;Ken Mack;59;NO;MALE;2010;Died in Murderw
http://marvel.wikia.com/Humber;Humberto Lopez;66;YES;MALE;2010;Died in Murderw
http://marvel.wikia.com/Johnat;Johnny Gallo;43;YES;MALE;1900;
http://marvel.wikia.com/Lyra_(;Lyra;55;YES;FEMALE;1900;
http://marvel.wikia.com/Anya_C;Anya Corazon;108;YES;FEMALE;1900;
http://marvel.wikia.com/Brando;Brandon Sharpe;64;YES;MALE;2010;
http://marvel.wikia.com/Kevin_;Kevin Masterson;62;YES;MALE;1900;
